zone,predictor,horizon,target_coverage,price_id,price_ratio,method,n,window_count,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap,relative_excess,overall_gap_pp,TUWR_pct
zone1,GBR,1,0.5,R01,1.0,AgACI,8472,7971,0.862885551540605,0.7704920668246096,0.09239348471599566,0.6635977337110481,0.2164303558496094,0.32024326002488535,0.0,1.0,0.16198675556033476,0.0,0.16198675556033476,32.272084037526774,16.359773371104815,0.0
zone1,GBR,1,0.5,R01,1.0,EEE,8472,7971,0.7401104840543906,0.6287804819665117,0.11133000208787867,0.5605524079320113,0.1766237308894696,0.3017136208758502,0.002258185923974407,0.3375987956341739,0.06741625893865262,0.0054169579009624175,0.06199930103769019,13.451843027285015,6.055240793201133,0.22581859239744073
zone1,GBR,1,0.5,R01,1.0,EnbPI-RH,8472,7971,0.6654333403907052,0.5309417100061199,0.1344916303845852,0.5081444759206799,0.14914092977699994,0.30025512122035414,0.09446744448626272,0.13210387655250283,0.0499870064698819,0.023327867089628473,0.02665913938025342,2.0045527061877344,0.8144475920679906,9.446744448626273
zone1,GBR,1,0.5,R01,1.0,Static,8472,7971,0.6523565103093081,0.5136316251835114,0.13872488512579667,0.4854815864022663,0.14427854639986273,0.30014920384457805,0.19947308995107263,0.08430560782837787,0.05813708622327366,0.038841693997885195,0.01929539222538846,0.0,-1.4518413597733704,19.947308995107264
zone1,GBR,1,0.5,R01,1.0,TSC,8472,7971,0.774300533122978,0.6714630787807524,0.10283745434222567,0.6228753541076487,0.18861322437661585,0.30416092588473453,0.0,0.9442980805419646,0.12104145384160438,0.0,0.12104145384160438,18.69284982775008,12.287535410764871,0.0
zone1,GBR,1,0.6,R01,1.0,ACI,8472,7971,0.9246537124060583,0.8505963711968296,0.07405734120922866,0.7213172804532578,0.2389315649429297,0.34294468461881267,0.0,0.8938652615732029,0.11896338512823272,0.0,0.11896338512823272,21.147673641755425,12.131728045325785,0.0
zone1,GBR,1,0.6,R01,1.0,AgACI,8472,7971,0.994655073286748,0.9258878464164138,0.0687672268703342,0.7436260623229461,0.26008085573494766,0.35666403954159687,0.0,0.9992472713586752,0.14124504901697227,0.0,0.14124504901697227,30.319217440985156,14.362606232294617,0.0
zone1,GBR,1,0.6,R01,1.0,EEE,8472,7971,0.8601224833239884,0.7767110194797583,0.08341146384422998,0.6607648725212465,0.21817725266285348,0.33532818502834505,0.003387278885961611,0.41512984569062855,0.06819318242916288,0.005614549169310175,0.06257863325985272,12.692823814577325,6.076487252124652,0.3387278885961611
zone1,GBR,1,0.6,R01,1.0,EnbPI-RH,8472,7971,0.7754072634194051,0.672782129965075,0.10262513345433019,0.601628895184136,0.18898374437221208,0.3331201677631253,0.13511479111780203,0.09446744448626272,0.050031363693388536,0.02713900388909797,0.022892359804290562,1.5934774584324574,0.16288951841360033,13.511479111780202
zone1,GBR,1,0.6,R01,1.0,Static,8472,7971,0.7632451244093572,0.6575777303407151,0.10566739406864205,0.5895892351274787,0.18471284560132445,0.3331221069336869,0.19495671810312382,0.08505833646970269,0.05547162033801099,0.03625732566267003,0.019214294675340974,0.0,-1.0410764872521239,19.49567181031238
zone1,GBR,1,0.6,R01,1.0,TSC,8472,7971,0.8923866666661412,0.814825428922232,0.07756123774390927,0.7128186968838527,0.22888354745006514,0.337817870124095,0.0,0.8242378622506586,0.11057807767442694,0.0,0.11057807767442694,16.92006121319427,11.281869688385271,0.0
zone1,GBR,1,0.7,R01,1.0,ACI,8472,7971,1.0648849594320473,1.010928425501657,0.053956533930390044,0.796742209631728,0.2839686588487801,0.385010857220297,0.0,0.7681595784719607,0.09431913902181126,0.0,0.09431913902181126,19.791683846925203,9.674220963172807,0.0
zone1,GBR,1,0.7,R01,1.0,AgACI,8472,7971,1.1410470618457815,1.091936017318256,0.049111044527525544,0.8105524079320113,0.3067236003702966,0.39869184854918344,0.0,0.9307489649981182,0.1086277039984229,0.0,0.1086277039984229,28.359357202298007,11.055240793201138,0.0
zone1,GBR,1,0.7,R01,1.0,EEE,8472,7971,0.9969279440692718,0.9364008186668425,0.06052712540242901,0.7457507082152974,0.2630339378277648,0.37638061461133976,0.0011290929619872036,0.29506962739932246,0.05482239188486839,0.0059810563291933135,0.04884133555567507,12.147022113830541,4.5750708215297475,0.11290929619872037
zone1,GBR,1,0.7,R01,1.0,EnbPI-RH,8472,7971,0.9069980846851288,0.8321222775233877,0.07487580716174115,0.7011331444759207,0.23374221278746846,0.37395908013155305,0.10462928114414753,0.12081294693263078,0.04511801709769341,0.024547466709679704,0.020570550388013715,2.0305779023455983,0.11331444759207221,10.462928114414753
zone1,GBR,1,0.7,R01,1.0,Static,8472,7971,0.8889473169045704,0.8106165543240701,0.07833076258050033,0.6890934844192634,0.22770127930451406,0.3743881006163123,0.17764395935265337,0.10312382386149793,0.05223533523307703,0.03410219187411507,0.01813314335896197,0.0,-1.090651558073652,17.764395935265338
zone1,GBR,1,0.7,R01,1.0,TSC,8472,7971,1.0333221677497093,0.9773611991685137,0.05596096858119548,0.7900141643059491,0.27453966268778474,0.3793354840008849,0.0,0.6733157696650356,0.08718389877591988,0.0,0.08718389877591988,16.24110316771874,9.001416430594912,0.0
