price_id,subset,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,conditions_with_cost,conditions_with_TUWR,event_count,below_floor_count,below_floor_pct,delta_ERRF_pct,delta_TUWR_pp,delta_below_floor_pp,delta_capacity_contribution_pct,delta_exceedance_contribution_pct,ERRF_change_pct_CI_low,ERRF_change_pct_CI_high,TUWR_change_pp_CI_low,TUWR_change_pp_CI_high,zones_with_higher_ERRF
ALL,sparse_nonempty,CLARA,2.6628433397104225,1.3605512943713982,1.3022920453390237,0.63294812502429743,0.38137442967774332,0.10301203364558834,0.45755095561483089,0.079801991949010692,0.01088327220365942,0.068918719745351284,5171,4541,12033270,1436,28.084898215707792,0,0,0,0,0,0,0,0,0,0
ALL,sparse_nonempty,NO_BACKOFF_EXACT,2.6807909959565199,1.3710045128456909,1.309786483110829,0.64026829259085916,0.38431072700198271,0.090991343090747773,0.4616003974091159,0.078567349664406858,0.0092378977157466825,0.069329451948660178,5171,4541,12033270,1238,24.627345943437756,0.67400346007773226,-1.2020690554840563,-3.4575522722700356,0.39255852262902796,0.2814449374487184,0.090941510401432751,1.2078210004862304,-1.8970914536744476,-0.545551099420853,9
R01,supported,CLARA,1.6212571357829095,1.4034973517476541,0.21775978403525548,0.58059150829557982,0.39341252370717833,0.19639805032549718,0.1548895398378613,0.051758879975337936,0.02688723223145496,0.024871647743882959,2031,2031,20588701,281,14.673682360780674,0,0,0,0,0,0,0,0,0,0
R01,supported,NO_BACKOFF_EXACT,1.6212571357829095,1.4034973517476541,0.21775978403525548,0.58059150829557982,0.39341252370717833,0.19634837689507509,0.15490993739892392,0.051755403343603901,0.026872995179515087,0.0248824081640888,2031,2031,20588701,281,14.673682360780674,0,-0.0049673430422086939,0,0,0,0,0,-0.011444580964987718,0.00180103590827544,0
R02,supported,CLARA,1.8500960241174553,1.423435860518784,0.42666016359867126,0.58671918977011406,0.39901324190942766,0.16882321087065008,0.17336567083176818,0.050753898028954213,0.023297647494571645,0.027456250534382547,2031,2031,20587803,118,6.3734619659067713,0,0,0,0,0,0,0,0,0,0
R02,supported,NO_BACKOFF_EXACT,1.8500960241174553,1.423435860518784,0.42666016359867126,0.58671918977011406,0.39901324190942766,0.16874243670773298,0.17330620955284859,0.050742885196647082,0.023281461991158721,0.027461423205488351,2031,2031,20587803,118,6.3734619659067713,0,-0.0080774162917102155,0,0,0,0,0,-0.012069100097441526,-0.0040785034743836988,0
R05P6179775281,supported,CLARA,2.5391296978954871,1.5979519690698982,0.94117772882558948,0.66003603603949379,0.44803459831643189,0.074582782111016238,0.51586661172400083,0.095397344145574089,0.0087092467980653572,0.086688097347508708,2031,2031,20586972,6,0.35979634400687038,0,0,0,0,0,0,0,0,0,0
R05P6179775281,supported,NO_BACKOFF_EXACT,2.5391296978954871,1.5979519690698982,0.94117772882558948,0.66003603603949379,0.44803459831643189,0.074544708450714439,0.51595755714627867,0.095402948671591409,0.008706648489317733,0.086696300182273645,2031,2031,20586972,6,0.35979634400687038,0,-0.0038073660301798928,0,0,0,0,0,-0.011473845758457332,0.0011972088239009921,0
R10,supported,CLARA,3.2576829254127349,1.66434232273836,1.5933406026743764,0.68089998376584859,0.46668354734171408,0.049675373794727126,0.61181796591376203,0.10882201415664391,0.0048315145818421511,0.10399049957480175,2031,2031,20586370,1,0.047846889952153103,0,0,0,0,0,0,0,0,0,0
R10,supported,NO_BACKOFF_EXACT,3.2576829254127349,1.66434232273836,1.5933406026743764,0.68089998376584859,0.46668354734171408,0.049616770906321751,0.61174079414393012,0.10880002931647825,0.004832086469891742,0.1039679428465865,2031,2031,20586370,1,0.047846889952153103,0,-0.005860288840537492,0,0,0,0,0,-0.012511826330508706,0.00020867265428421741,0
R20,supported,CLARA,4.8327348030078756,1.7102368272563191,3.1224979757515579,0.69068103880142762,0.47957526732290762,0.029782727568669592,0.66828286441240548,0.11410836204728587,0.0024972054597481863,0.11161115658753769,2031,2031,20586419,0,0,0,0,0,0,0,0,0,0,0,0
