zone_or_farm,price_id,method,rank,excess
zone8,R20,EnbPI-RH,6.4727272727272727,15.410119058737484
zone8,R20,LinUCB,4.4636363636363638,3.5087377750155362
zone8,R20,Static,7.8704545454545451,24.282447131313894
zone8,R20,TSC,5.0522727272727277,5.6643732067974888
zone9,R01,ACI,7.9954545454545451,21.111281240252584
zone9,R01,AgACI,8.9454545454545453,29.643282899854629
zone9,R01,CART,4.8545454545454554,10.929260264126317
zone9,R01,CLARA,3.2136363636363638,4.3159265061218921
zone9,R01,EEE,5.5636363636363644,12.973457297842589
zone9,R01,EnbPI-RH,3.4727272727272727,4.3507796133565888
zone9,R01,LinUCB,2.9818181818181819,2.0957852533064742
zone9,R01,Static,1.1181818181818182,0.035738165556427497
zone9,R01,TSC,6.8545454545454554,16.513317528869234
zone9,R02,ACI,8.004545454545454,11.982986458478599
zone9,R02,AgACI,8.9454545454545453,17.474684108144928
zone9,R02,CART,5.127272727272727,6.2330091891483876
zone9,R02,CLARA,3.4500000000000002,2.9885042498463892
zone9,R02,EEE,5.372727272727273,6.742337215414314
zone9,R02,EnbPI-RH,3.0090909090909093,2.3458352974803574
zone9,R02,LinUCB,3.1545454545454548,1.758452146836738
zone9,R02,Static,1.1545454545454543,0.043243859889152102
zone9,R02,TSC,6.7818181818181822,9.0664014838953566
zone9,R05P6179775281,ACI,6.081818181818182,3.9141501979102182
zone9,R05P6179775281,AgACI,6.7750000000000004,5.5009385907118382
zone9,R05P6179775281,CART,3.3227272727272728,0.99208423335888984
zone9,R05P6179775281,CLARA,3.1159090909090907,1.1017050824708052
zone9,R05P6179775281,EEE,4.8431818181818178,2.6337007857626462
zone9,R05P6179775281,EnbPI-RH,5.2386363636363633,4.3407267339777409
zone9,R05P6179775281,LinUCB,4.790909090909091,2.2542493686230345
zone9,R05P6179775281,Static,5.3818181818181818,5.2006455996356804
zone9,R05P6179775281,TSC,5.4500000000000002,3.1967855201699851
zone9,R10,ACI,5.2863636363636362,3.2126707411451201
zone9,R10,AgACI,5.1772727272727277,2.9075032188971823
zone9,R10,CART,4.3204545454545453,2.3702912706129511
