price_id,method,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap
R10,NMIN_50,3.289321450751795,1.6636437393119654,1.62567771143983,0.6789346417214752,0.4664932687670097,0.6748629527315712,0.05505952526654693,0.5860967733550855,0.10250691677170876,0.005519204309542858,0.0969877124621659
R10,NU_0,3.2904370039726096,1.6626401281522878,1.6277968758203218,0.6785939887146964,0.4662113555199093,0.6747165166436421,0.054868667978652606,0.5851383002279988,0.10212888323093235,0.005501124779861293,0.09662775845107105
R10,NU_10,3.289924336822086,1.663154052474468,1.6267702843476184,0.6787556335355498,0.46635571628456657,0.6747596451603,0.05496977374642257,0.5858790679414428,0.10232511735031671,0.0055162865536794855,0.09680883079663721
R10,NU_100,3.2872199210089383,1.6658361729706392,1.621383748038299,0.6796362107343635,0.4671091209183226,0.6747316708827528,0.05492824581137001,0.5888467443779907,0.10319812497384365,0.005512137027935264,0.09768598794590837
R10,NU_30,3.288855284039845,1.6640309823812545,1.6248243016585906,0.6790603583550138,0.4666020449100684,0.6747510150933305,0.05491823879252371,0.5867094617340023,0.10261915909038313,0.005511996147532942,0.09710716294285018
R10,NU_60,3.2881444373099655,1.6648886927596958,1.6232557445502696,0.6793281614848699,0.46684297479165304,0.6746982853052269,0.05498924743715553,0.5877137979929872,0.10288969341534304,0.005514875775375604,0.09737481763996744
R10,TOL_0.5,3.2932907347020697,1.6900914484798144,1.6031992862222555,0.6849696506129314,0.4739224005557313,0.6751607943865336,0.03642123480508633,0.6128686096322753,0.10420610485528203,0.003298567560718403,0.10090753729456362
R10,TOL_1,3.2893618361991512,1.6636681141350613,1.62569372206409,0.6789288328445819,0.46650011562742993,0.6748136345885748,0.05505049544758085,0.5861149785255446,0.10249701147470527,0.005517180466909211,0.09697983100779606
R10,TOL_2,3.28657229218143,1.6518010280997348,1.6347712640816952,0.6766799200465838,0.4631666644939113,0.6780613758320555,0.06985618030635896,0.5805292187226075,0.10340900550322996,0.007136003598354888,0.09627300190487507
R20,CLARA,4.8806939237628155,1.702872387193101,3.1778215365697147,0.688196365957974,0.4775125518796882,0.6765619699321281,0.03717284065385153,0.6327407277708407,0.10746078791470932,0.0032886240256166715,0.10417216388909264
