zone,price_id,method,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap
zone10,R10,NMIN_20,3.6697371701233226,1.8760745481128558,1.7936626220104666,0.672994009144217,0.5261508433603738,0.7440074326338395,0.05363366839149699,0.5791586191470569,0.09592528488518023,0.005003981729732193,0.09092130315544807
zone10,R10,NMIN_30,3.6695476785962846,1.876167721573493,1.793379957022792,0.6730341512156672,0.5261770156807775,0.7440150966654776,0.05340717670821706,0.579341985497213,0.09594619143779828,0.0049942826128362774,0.090951908824962
zone10,R10,NMIN_50,3.6690847499004415,1.8765621218682986,1.7925226280321434,0.6731423192348139,0.5262878022804419,0.7439806154468205,0.05349365663373418,0.5795097751203377,0.0960608694353713,0.004997597797534598,0.0910632716378367
zone10,R10,NU_0,3.670804842647517,1.8750226871299083,1.7957821555176088,0.6726354421753699,0.5258553767921301,0.7438623023862402,0.053479822518071526,0.5781998315055537,0.09553733016212906,0.0049951582431578346,0.09054217191897122
zone10,R10,NU_10,3.6699032499491504,1.875995339753956,1.7939079101951942,0.6729842562110573,0.5261285938213569,0.7439124771764691,0.0533226418802041,0.5798275358410568,0.09584477157611532,0.0049755501237904835,0.09086922145232484
zone10,R10,NU_100,3.665322552327924,1.8806370744120007,1.7846854779159234,0.6744918058161552,0.5274324518713696,0.7440361749845636,0.052358559509749714,0.5856625901411602,0.0970769520233272,0.004821641396503231,0.09225531062682396
zone10,R10,NU_30,3.6683239179327853,1.8770253245062256,1.79129859342656,0.6734028051192746,0.5264179153809833,0.743822857613033,0.05325679499651384,0.580544953088038,0.09626203298897315,0.004969023869810069,0.09129300911916308
zone10,R10,NU_60,3.6670387580900634,1.8785943848322189,1.7884443732578446,0.6738830583095361,0.5268586626635656,0.7438755353191665,0.05299717958273685,0.5829915628986145,0.09667755874901227,0.004934203181533291,0.09174335556747898
zone10,R10,TOL_0.5,3.6694898740564104,1.895555040397236,1.7739348336591743,0.6787182395071863,0.5316228917548625,0.7423150577867192,0.03370189046177297,0.6070821522432518,0.09763167971945651,0.0028953660901570146,0.09473631362929948
zone10,R10,TOL_1,3.669094786357613,1.8765671416850418,1.7925276446725718,0.673139631642241,0.5262892123413249,0.7439791615234844,0.05354331698380586,0.5795097751203377,0.09606440081221032,0.005000791909973596,0.09106360890223672
zone10,R10,TOL_2,3.667805327254712,1.8654454263067108,1.8023599009480016,0.6708578570264515,0.5231651349878611,0.7487532647596317,0.06689382448584692,0.5724776087189362,0.0964866748561672,0.006379084655196459,0.09010759020097074
zone10,R20,CLARA,5.42223622355091,1.9095551913419713,3.512681032208939,0.6823738196684007,0.535555518424732,0.7440546551303296,0.03509117885038595,0.6260718847156757,0.10117524786888994,0.0028637990528127136,0.09831144881607724
zone10,R20,NMIN_10,5.425033705337854,1.9086520661747701,3.5163816391630847,0.6821050469339127,0.5353018315800125,0.744542909516436,0.03530687381957564,0.6253402611322199,0.10094883170840363,0.0028714478794813233,0.09807738382892231
zone10,R20,NMIN_20,5.424702084433233,1.9087722014422135,3.5159298829910193,0.682127654620676,0.535335577441654,0.7440200277373153,0.035257011608096245,0.6252343125261108,0.10097300437551715,0.002870591528015598,0.09810241284750154
zone10,R20,NMIN_30,5.424245234556416,1.9088636856420031,3.5153815489144127,0.6821559714477402,0.5353612752505837,0.7440356896575038,0.03514067620138676,0.6254384385903373,0.10099159881465437,0.0028659573915925354,0.09812564142306184
