scope,metric,baseline,clara_mean,baseline_mean,difference,ci_low,ci_high,sign_flip_p,n_zones,bootstrap_draws,bootstrap_seed,relative_difference_pct,relative_ci_low_pct,relative_ci_high_pct,holm_p
R01,mean_errf,TSC,1.6521871659581868,1.7911207872906652,-0.13893362133247805,-0.1473768846066357,-0.12990582742093945,0.001953125,10,10000,20260925,-7.756797995887032,-8.47968189449895,-7.0319865998590885,0.017578125
R01,mean_errf,EEE,1.6521871659581868,1.746458332858884,-0.09427116690069708,-0.09982267095344226,-0.08837081108767733,0.001953125,10,10000,20260925,-5.397848040633124,-5.914926711004346,-4.881988591227127,0.017578125
R01,mean_errf,CART,1.6521871659581868,1.734704587140311,-0.08251742118212416,-0.09600116016774562,-0.06850759510214154,0.001953125,10,10000,20260925,-4.756857265141356,-5.689317509730367,-3.831222242618841,0.017578125
R01,mean_errf,LinUCB,1.6521871659581868,1.6245908722442164,0.0275962937139707,0.02047308581064923,0.034888874294284465,0.001953125,10,10000,20260925,1.6986611328086987,1.23828985016408,2.188364423261193,0.017578125
R01,mean_errf,LinUCB (pre-period initialization),1.6521871659581868,1.6246184706680438,0.02756869529014334,0.021506663721530008,0.034279653227357924,0.001953125,10,10000,20260925,1.6969335131839847,1.285755361860938,2.1745196484083777,0.017578125
R01,tuwr,Static,0.18549606741938107,0.29536959294357634,-0.10987352552419524,-0.1293500738575528,-0.08843650758043906,0.001953125,10,10000,20260925,,,,0.017578125
R01,tuwr,ACI,0.18549606741938107,0.012938352247251558,0.1725577151721295,0.1512847793785484,0.19656662741648123,0.001953125,10,10000,20260925,,,,0.017578125
R01,tuwr,AgACI,0.18549606741938107,0.013179207396198286,0.17231686002318278,0.15102846701196032,0.19627865579292514,0.001953125,10,10000,20260925,,,,0.017578125
R01,tuwr,EnbPI-RH,0.18549606741938107,0.16746835374419258,0.0180277136751885,0.001835184076227877,0.033357889685163795,0.05859375,10,10000,20260925,,,,0.05859375
R01,tuwr,TSC,0.18549606741938107,0.017047101747731205,0.16844896567164985,0.14729439125350993,0.19210612791470738,0.001953125,10,10000,20260925,,,,0.017578125
R01,tuwr,EEE,0.18549606741938107,0.07920130117183244,0.1062947662475486,0.08975273735584818,0.12271736213402568,0.001953125,10,10000,20260925,,,,0.017578125
R01,tuwr,CART,0.18549606741938107,0.11267015507244474,0.0728259123469363,0.0586974476879357,0.08617795423544135,0.001953125,10,10000,20260925,,,,0.017578125
R01,tuwr,LinUCB,0.18549606741938107,0.24098706304558587,-0.05549099562620483,-0.07060715044748557,-0.04066686914622459,0.001953125,10,10000,20260925,,,,0.017578125
R01,tuwr,LinUCB (pre-period initialization),0.18549606741938107,0.24256284578137727,-0.057066778361996195,-0.07230942378887482,-0.04209228561888727,0.001953125,10,10000,20260925,,,,0.017578125
R02,mean_errf,Static,1.8777888937677882,1.8234061708258351,0.05438272294195323,0.04823800912630811,0.05993497014508285,0.001953125,10,10000,20260925,2.9824799220309117,2.5595240735930536,3.3911795480294424,0.017578125
R02,mean_errf,ACI,1.8777888937677882,2.0108452358561,-0.13305634208831182,-0.14208748686681236,-0.12338866196679507,0.001953125,10,10000,20260925,-6.616935988694539,-7.298569669166478,-5.934859430534473,0.017578125
R02,mean_errf,AgACI,1.8777888937677882,2.0874794287986536,-0.2096905350308651,-0.22291835296298962,-0.19529190179020145,0.001953125,10,10000,20260925,-10.04515455999212,-11.0166105208762,-9.07901615287221,0.017578125
R02,mean_errf,EnbPI-RH,1.8777888937677882,1.869388075529443,0.008400818238345664,0.004042233883559412,0.01238564596185221,0.005859375,10,10000,20260925,0.4493886715291051,0.21752725550802987,0.6581513370778673,0.017578125
R02,mean_errf,TSC,1.8777888937677882,1.968809946643189,-0.09102105287540045,-0.0972408549296109,-0.08423495881769202,0.001953125,10,10000,20260925,-4.62315080389507,-5.103625694438467,-4.142314203961553,0.017578125
R02,mean_errf,EEE,1.8777888937677882,1.930258858644565,-0.05246996487677662,-0.05672173324743565,-0.048078211142217414,0.001953125,10,10000,20260925,-2.718286443385187,-3.046049017535231,-2.4019660882889693,0.017578125
R02,mean_errf,CART,1.8777888937677882,1.9102361221974415,-0.032447228429652954,-0.04409798596665276,-0.020269580906153016,0.001953125,10,10000,20260925,-1.6985977834157784,-2.3706662868017188,-1.0297639809674928,0.017578125
R02,mean_errf,LinUCB,1.8777888937677882,1.8575081505824258,0.020280743185362528,0.01445094304696422,0.026424023893481707,0.001953125,10,10000,20260925,1.091825259501733,0.762798464754707,1.4352810493121426,0.017578125
R02,mean_errf,LinUCB (pre-period initialization),1.8777888937677882,1.8709467650920928,0.006842128675695824,-0.007237133731201495,0.018928195602865645,0.34765625,10,10000,20260925,0.3657040811291479,-0.3850176898927099,1.0247942110369195,0.34765625
R02,tuwr,Static,0.1593868003165321,0.29536959294357634,-0.1359827926270442,-0.15947926460507428,-0.11005420905320051,0.001953125,10,10000,20260925,,,,0.017578125
R02,tuwr,ACI,0.1593868003165321,0.012938352247251558,0.14644844806928053,0.12879312103919696,0.1669591140135092,0.001953125,10,10000,20260925,,,,0.017578125
R02,tuwr,AgACI,0.1593868003165321,0.013179207396198286,0.1462075929203338,0.1285431818027685,0.16665436962853558,0.001953125,10,10000,20260925,,,,0.017578125
R02,tuwr,EnbPI-RH,0.1593868003165321,0.16746835374419258,-0.008081553427660459,-0.019944450272903667,0.0034196214622408544,0.212890625,10,10000,20260925,,,,0.21875
R02,tuwr,TSC,0.1593868003165321,0.017047101747731205,0.14233969856880088,0.12478413153598915,0.16262018406139334,0.001953125,10,10000,20260925,,,,0.017578125
R02,tuwr,EEE,0.1593868003165321,0.07920130117183244,0.08018549914469966,0.06765051284755212,0.09351326489199027,0.001953125,10,10000,20260925,,,,0.017578125
R02,tuwr,CART,0.1593868003165321,0.11611166199959996,0.04327513831693215,0.02834185342020369,0.05792731862552126,0.001953125,10,10000,20260925,,,,0.017578125
R02,tuwr,LinUCB,0.1593868003165321,0.20763188023673088,-0.048245079920198754,-0.06633695760184988,-0.031942368449586214,0.001953125,10,10000,20260925,,,,0.017578125
R02,tuwr,LinUCB (pre-period initialization),0.1593868003165321,0.18798873971900978,-0.028601939402477673,-0.05732080097762775,0.0021065153505840815,0.109375,10,10000,20260925,,,,0.21875
Rref,mean_errf,Static,2.5655471010626147,2.6641393017814856,-0.09859220071887073,-0.1044322554359095,-0.09224451706357478,0.001953125,10,10000,20260925,-3.7007149233128755,-3.9624816579389397,-3.44824929791195,0.017578125
Rref,mean_errf,ACI,2.5655471010626147,2.621198426281986,-0.055651325219371196,-0.05985575208143824,-0.0511146954267399,0.001953125,10,10000,20260925,-2.1231252339148243,-2.35990089347179,-1.8801155912601375,0.017578125
Rref,mean_errf,AgACI,2.5655471010626147,2.644852267623457,-0.07930516656084192,-0.09069261325592305,-0.06732960093914368,0.001953125,10,10000,20260925,-2.9984724489773518,-3.5517083683360777,-2.4628702704122745,0.017578125
Rref,mean_errf,EnbPI-RH,2.5655471010626147,2.647653824508188,-0.08210672344557332,-0.09006873382102557,-0.07475229996540471,0.001953125,10,10000,20260925,-3.1011124900675036,-3.2809083393788447,-2.9381642868886164,0.017578125
Rref,mean_errf,TSC,2.5655471010626147,2.611685332165804,-0.04613823110318886,-0.04829728544734354,-0.044073592314670604,0.001953125,10,10000,20260925,-1.766607582274382,-1.8405013867500972,-1.6938298286640694,0.017578125
Rref,mean_errf,EEE,2.5655471010626147,2.5952450305882655,-0.02969792952565058,-0.03199498819251249,-0.02747936562583497,0.001953125,10,10000,20260925,-1.1443208319685705,-1.2268984802771508,-1.0694776290207644,0.017578125
Rref,mean_errf,CART,2.5655471010626147,2.5608494619300606,0.00469763913255461,0.0021368562101411913,0.0073615442243347325,0.009765625,10,10000,20260925,0.18344065914024377,0.0818958408986642,0.2930706559903923,0.017578125
Rref,mean_errf,LinUCB,2.5655471010626147,2.589996892342705,-0.024449791280090682,-0.031011128821390926,-0.018359478770721287,0.001953125,10,10000,20260925,-0.9440085180169699,-1.174561395179068,-0.7261468199662666,0.017578125
Rref,mean_errf,LinUCB (pre-period initialization),2.5655471010626147,2.5985964177840595,-0.03304931672144482,-0.043008103899461886,-0.02327029532567556,0.001953125,10,10000,20260925,-1.2718141414828632,-1.636238583563113,-0.9022438962134556,0.017578125
Rref,tuwr,Static,0.07442569392861638,0.29536959294357634,-0.22094389901495998,-0.25506618354712124,-0.18356527354274782,0.001953125,10,10000,20260925,,,,0.017578125
Rref,tuwr,ACI,0.07442569392861638,0.012938352247251558,0.06148734168136481,0.05352487156795073,0.07085596167180408,0.001953125,10,10000,20260925,,,,0.017578125
