zone_or_farm,price_id,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
Farm B,R05P6179775281,LinUCB,0.5572456963191507,0.3368168350835259,0.22042886123562477,0.6270594610275881,0.3765667172787594,0.20931182592593978,0.4926198223272777,0.07633292656908659,,
Farm B,R05P6179775281,Static,0.5836937609885684,0.30285015778966,0.28084360319890833,0.5714060731610409,0.33840191133059555,0.4232896938570006,0.37267120918869806,0.07918149391246258,,
Farm B,R05P6179775281,TSC,0.5535504315559583,0.31058515941912995,0.2429652721368277,0.589919583985888,0.3470929243974144,0.2236914192780322,0.23751004136426435,0.032534142425787456,0.014265044927758912,0.01826909749802855
Farm B,R10,ACI,0.7882975329458272,0.4419097562665781,0.346387776679249,0.6993231424924128,0.4946486511923012,0.039494404511316715,0.7720399629392269,0.11791971801240794,,
Farm B,R10,AgACI,0.8100086196107267,0.45920093050694927,0.3508076891037773,0.7084830335839043,0.5140769368556396,0.11657084266573596,0.7455670215903438,0.14222562789987322,,
Farm B,R10,CART,0.7184336628024653,0.373005070241726,0.34542859256073927,0.6650573918422399,0.4172276556587595,0.17549887758270646,0.6586586643087903,0.11081139018844698,,
Farm B,R10,CLARA_online,0.7069502943553222,0.4040755126818026,0.3028747816735154,0.7037667189316429,0.4521382651419907,0.060552329038820525,0.7798488265166685,0.12519174695681987,0.003062831417217721,0.12212891553960216
Farm B,R10,EEE,0.7211545332215475,0.3811406744775541,0.34001385874399326,0.6532115105304395,0.42636878401362116,0.14019497172538506,0.6571729177665834,0.08639045847919306,0.011011412565986294,0.07537904591320678
Farm B,R10,EnbPI-RH,0.7468619887940361,0.32060185334702446,0.42626013544701175,0.6004522093245476,0.3583476366759488,0.2400322633086801,0.40202617316780404,0.051569867977085605,,
Farm B,R10,LinUCB,0.7174963999088982,0.378662561566758,0.33883383834214026,0.6761888700583781,0.42358438748463817,0.14912139041466282,0.6674194786486236,0.11620377014602186,,
Farm B,R10,Static,0.802751771483717,0.30285015778966,0.4999016136940569,0.5714060731610409,0.33840191133059555,0.4232896938570006,0.37267120918869806,0.07918149391246258,,
Farm B,R10,TSC,0.7330508633048676,0.4358917449730144,0.2971591183318472,0.7163897480312998,0.48788684075009026,0.014869179951931731,0.8708883717951725,0.1342448566488458,0.0004998614900837965,0.13374499515876198
Farm B,R20,ACI,1.1346853096250762,0.4419097562665781,0.692775553358498,0.6993231424924128,0.4946486511923012,0.039494404511316715,0.7720399629392269,0.11791971801240794,,
Farm B,R20,AgACI,1.160816308714504,0.45920093050694927,0.7016153782075546,0.7084830335839043,0.5140769368556396,0.11657084266573596,0.7455670215903438,0.14222562789987322,,
Farm B,R20,CART,1.0575765973527156,0.37496439061825054,0.6826122067344649,0.6692034929508281,0.41942913922788827,0.17257416142190382,0.6666267269760401,0.1145375203486504,,
