price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor
ALL,ordinary,WIDTH_ONLY,2.8746949466921325,1.2311359378497451,1.6435590088423875,0.57349289430957762,0.34519592562897955,0.34595360656359675,0.081549390726374058,0.063094194559073197,0.04943500934576045,0.013659185213312736,0.62892175095825109,0.34363636363636363
ALL,ordinary,WIDTH_SAME_SCREEN,2.8263501531261861,1.2894999203835034,1.5368502327426827,0.59195465560435556,0.36159030274520393,0.18646785648938846,0.1544650921718925,0.050804277997510902,0.025981656382608999,0.024822621614901893,0.62072709552106187,0.14281818181818182
ALL,overall,CLARA,2.8531157841501149,1.5751324760926471,1.2779833080574685,0.64374820200425698,0.44163055437955967,0.10230637955319237,0.42427228355141605,0.082350965874586068,0.01312431703019859,0.069226648844387464,0.67270882403583776,0.038272727272727278
ALL,overall,FEASIBLE_STATE_ORACLE,2.817666159375118,1.5727208357307281,1.2449453236443904,0.64489578232819345,0.44095312731160502,0.10415282210485455,0.4277219290927442,0.083561828417461334,0.01312288806708635,0.070438940350374984,0.67093942219572311,0.046090909090909092
ALL,overall,FIX_REFERENCE_PRICE,2.9223034533626615,1.6136891706996441,1.308614282663018,0.66345057980367739,0.45246108657253636,0.074425693928616365,0.51658793435110373,0.092865158658659436,0.0085312374222248025,0.084333921236434614,0.67220294991523288,0.016818181818181819
ALL,overall,GLOBAL_SCORE_SAME_SCREEN,2.8607986806543528,1.6031025388293536,1.2576961418250012,0.6437157294314646,0.44948731357526317,0.088105055058751103,0.42820759387206875,0.080248930955783712,0.012022721159094581,0.068226209796689113,0.67193662171028368,0.035454545454545454
ALL,overall,NO_BACKOFF_EXACT,2.8619222625306353,1.5769810476329942,1.284941214897642,0.64369992434332679,0.44214981604819642,0.099056598269812682,0.42519861159057404,0.081588634445923763,0.012771556672105619,0.068817077773818125,0.67269219285055093,0.035454545454545454
ALL,overall,NO_G,2.8385638905444361,1.5636251804142478,1.2749387101301888,0.64113902437568826,0.43839816795304315,0.11657380902570849,0.41445431442056169,0.08346428442273536,0.014961953887906415,0.068502330534828931,0.67292657978323822,0.066363636363636361
ALL,overall,NO_RWG,2.818811926344706,1.5381419280767177,1.2806699982679883,0.63375212485173837,0.4312399510042989,0.15980984881696739,0.40024281657203087,0.087798610347604833,0.020916627355593059,0.066881982992011757,0.67816414452502338,0.16572727272727272
ALL,overall,NO_SCREEN,2.8284489514961186,1.5271000580443412,1.3013488934517783,0.62954644328167786,0.42813830211879972,0.16487561881208695,0.38919056393798052,0.086226475357304461,0.022282047157994499,0.063944428199309941,0.67839315843099546,0.19827272727272727
ALL,overall,OUTCOME_ORACLE,2.4923758499010162,1.4562579111020069,1.0361179387990089,0.6444170760410618,0.40823882264061639,0.13515136828890267,0.45563953590710904,0.095427748276995919,0.019213233113660622,0.076214515163335286,0.59432651957724114,0.21727272727272728
ALL,overall,STATE_ORACLE,2.7813259803569927,1.5184205148549628,1.2629054655020304,0.62949027410222447,0.42570022818919923,0.17354235724382663,0.38784827729984384,0.087453673478667254,0.022891086068015491,0.064562587410651739,0.6755028465493641,0.23509090909090907
ALL,overall,WIDTH_ONLY,3.1908692504309135,1.3018139195388962,1.8890553308920173,0.54435937235765341,0.36485567894311338,0.38195324857482887,0.06767253764141723,0.067105564788730976,0.055422383388502784,0.011683181400228181,0.6909001873004943,0.66454545454545455
