price_id,subset,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor_pct,delta_ERRF_pct,delta_ERRF_pct_CI_low,delta_ERRF_pct_CI_high,delta_TUWR_pp,delta_TUWR_pp_CI_low,delta_TUWR_pp_CI_high,delta_below_floor_pp,delta_below_floor_pp_CI_low,delta_below_floor_pp_CI_high,delta_ERRF_exact_p,delta_below_floor_exact_p,delta_capacity_contribution_pct,delta_exceedance_contribution_pct
R02,nonempty,CLARA,1.8804771526349051,1.4600869790716193,0.42039017356328551,0.59751123607707302,0.4093123154102985,0.16024852238688347,0.19807524226821444,0.053539568899835431,0.022521842670134826,0.03101772622970058,0.66968649479365228,6.1363636363636367,0,0,0,0,0,0,0,0,0,1,1,0,0
R02,nonempty,NO_BACKOFF_EXACT,1.8856463205622807,1.4684977395935985,0.41714858096868201,0.59993368462666985,0.41167488859062973,0.15467529894876456,0.20872592118672273,0.05428613804702169,0.021787492360648288,0.032498645686373367,0.66981810300873768,5.8181818181818183,0.27488597349520916,0.20653471888413377,0.34898384540317795,-0.55732234381189438,-0.76015730397117875,-0.35621605845164822,-0.31818181818181829,-0.72727272727272751,0.04545454545454547,0.001953125,0.265625,0.44726736031831754,-0.1723813868230947
R02,sparse_nonempty,CLARA,1.8002190900049484,1.3738325187508769,0.42638657125407209,0.58016852464357194,0.38502071531842796,0.15733250673137189,0.38846069710075487,0.06781250865502314,0.01482185165788937,0.052990656997133768,0.65999954319873022,25.299664720652427,0,0,0,0,0,0,0,0,0,1,1,0,0
R02,sparse_nonempty,NO_BACKOFF_EXACT,1.8346691914351982,1.4315144230789085,0.40315476835628961,0.59784266309377343,0.40122349743304364,0.14795524543077299,0.41418294916572052,0.071028761072319188,0.013703529550735023,0.057325231521584176,0.66114008166115723,19.794570073546211,1.9136615993865069,1.4878394988531847,2.3679752888529726,-0.93772613005989081,-1.4296180800611675,-0.47646253072131961,-5.5050946471062154,-6.9825978785078711,-3.9628852162710548,0.001953125,0.001953125,3.2041602407334269,-1.290498641346961
R02,supported,CLARA,1.8926477645098785,1.4714537173461402,0.42119404716373782,0.59815843594725449,0.41250982415080079,0.16042524119285001,0.17084673522663665,0.050869780317028976,0.023395748327225456,0.027474031989803482,0.67187859086859036,6.2353921266199759,0,0,0,0,0,0,0,0,0,1,1,0,0
R02,supported,NO_BACKOFF_EXACT,1.8926477645098785,1.4714537173461402,0.42119404716373782,0.59815843594725449,0.41250982415080079,0.15597859921278198,0.17849463382314978,0.051145041261221012,0.022775955237528157,0.02836908602369282,0.67187859086859036,6.2353921266199759,0,0,0,-0.44466419800680002,-0.61666255404764203,-0.28477942087513308,0,0,0,1,1,0,0
R05P6179775281,empty,CLARA,2.538218042666589,1.4089314341435544,1.1292866085230349,0.61438918724654168,0.39502370139848419,0.085144131023674949,0.64218993999470109,0.10597260703967284,0.0057432815183996733,0.10022932552127317,0.65449226236498759,21.638540903845339,0,0,0,0,0,0,0,0,0,1,1,0,0
R05P6179775281,empty,NO_BACKOFF_EXACT,2.6511002619819455,1.1841217180960442,1.4669785438859013,0.51884974517420879,0.33187490475592507,0.088793649083920428,0.58462561374585653,0.093059952477393224,0.0063383028389591787,0.08672164963843404,0.66299088823829955,49.916576725329136,4.447301903061307,3.6651503028917931,5.242838405952746,0.36495180602454635,-0.054548102721351244,0.80867014678957438,28.278035821483787,24.721557682084001,32.032898764098981,0.001953125,0.001953125,-8.8569899145201365,13.304291817581426
R05P6179775281,nonempty,CLARA,2.5691653357239166,1.6160975038362935,0.95306783188762234,0.66359285543801616,0.45313549652397089,0.07394700799229921,0.51282698804140625,0.092161851805628164,0.0085886877266209381,0.083573164079007209,0.67274890838483858,1.7727272727272729,0,0,0,0,0,0,0,0,0,1,1,0,0
R05P6179775281,nonempty,NO_BACKOFF_EXACT,2.5725789449743592,1.6202988856194065,0.9522800593549523,0.66404387585048985,0.4543156599461935,0.070556994210059731,0.51114882320844779,0.09112670355550298,0.008275631669295935,0.082851071886207023,0.67251094705094516,1.5454545454545456,0.13286841461610521,0.10510636425459352,0.16489544545345289,-0.3390013782239466,-0.47413340125906173,-0.19946742586270283,-0.22727272727272727,-0.59090909090909094,0.090909090909090939,0.001953125,0.375,0.1635310006986839,-0.030662586082575629
