price_id,regime,method,changed_fraction,delta_ERRF_contribution,delta_capacity_contribution,delta_exceedance_contribution,delta_covered_contribution,delta_width_contribution
ALL,overall,WIDTH_SAME_SCREEN,0.62065506852897168,0.22420922769899923,-0.16331178579900624,0.38752101349800572,-0.063846101442094752,-0.045874097134552351
ALL,ramp,FIX_REFERENCE_PRICE,0.42704969817738886,0.081807219915833562,0.048956383030844264,0.032850836884989298,0.019840474271015145,0.013751792986192213
ALL,ramp,GLOBAL_SCORE_SAME_SCREEN,0.32579160592542922,0.0081655559511376007,0.014910399224939743,-0.0067448432738021367,-0.001244824356111885,0.0041883143890280167
ALL,ramp,NO_BACKOFF_EXACT,0.088843522953485896,0.010498718421174552,-0.0019632332946573038,0.012461951715831856,-0.0011181198807202896,-0.00055147002658913061
ALL,ramp,NO_G,0.34086384040455014,-0.015083781567199302,-0.0085366843016259249,-0.0065470972655733801,-0.0017447462601693393,-0.0023979450285466081
ALL,ramp,NO_RWG,0.51006157150130738,-0.049588497873553558,-0.084709844286730493,0.035121346413176942,-0.025106387088568986,-0.023794900080542272
ALL,ramp,NO_SCREEN,0.34070239180539413,-0.043240160449919268,-0.08006137081131405,0.036821210361394768,-0.02495819827091094,-0.022489149104301696
ALL,ramp,WIDTH_ONLY,0.81570886514898933,0.45216133793020125,-0.36132933051723448,0.81349066844743567,-0.12260858269929971,-0.10149700295427937
ALL,ramp,WIDTH_SAME_SCREEN,0.56035054032771492,0.25954901487570253,-0.17423829887455208,0.43378731375025464,-0.060326607944350297,-0.048943342380492166
R01,ordinary,FIX_REFERENCE_PRICE,0.68915305350610279,0.099304681050895224,0.13268146610228698,-0.033376785051391723,0.063587383722237101,0.037270074747833414
R01,ordinary,GLOBAL_SCORE_SAME_SCREEN,0.14460586356606714,-0.0062381217841695532,-0.0072527576015090521,0.0010146358173394997,-0.00072960280337098387,-0.0020372914610980492
