zone_or_farm,price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor
zone9,R10,ordinary,FIX_REFERENCE_PRICE,2.909803372164224,1.3777003877439067,1.532102984420316,0.68079166190588325,0.38602120791631384,0.043541959087362872,0.56649294749528867,0.10180678246074851,0.0049976115975543765,0.096809170863194113,0.58835739531672215,0.0045454545454545452
zone9,R10,ordinary,GLOBAL_SCORE_SAME_SCREEN,2.9302555358819724,1.5497497434663718,1.3805057924155997,0.71347381491557627,0.43434967862487195,0.012437177930655671,0.72152113592615441,0.12649697847352054,0.00096688998867940795,0.12553008848484112,0.60652184226201311,0.0045454545454545452
zone9,R10,ordinary,NO_BACKOFF_EXACT,2.9025833393940572,1.419965042458645,1.4826182969354116,0.69324755249899861,0.39789330193730771,0.031401951126246233,0.63552482833179769,0.11214027945007993,0.0030285528446407318,0.1091117266054392,0.59201179316805808,0.0045454545454545452
zone9,R10,ordinary,NO_G,2.8790734712491046,1.4205161287731551,1.4585573424759481,0.69763731260572492,0.3980481014638555,0.033450111376574297,0.64804233012530266,0.11729004013607383,0.0032651888953554825,0.11402485124071834,0.59267326498753892,0.0045454545454545452
zone9,R10,ordinary,NO_RWG,2.863067288478863,1.4287472067322187,1.4343200817466433,0.70072942508097946,0.40036020201415407,0.056542597941145425,0.62764146990309788,0.11808062194438261,0.0057172103565858853,0.11236341158779674,0.59277539639245413,0.0090909090909090905
zone9,R10,ordinary,NO_SCREEN,2.8921072306252666,1.4015496120052309,1.4905576186200342,0.69154660885542996,0.39272042821443859,0.04611732249635167,0.62558437185779059,0.11312828642353411,0.0044869499399469836,0.10864133648358712,0.59298874753951469,0.013636363636363636
zone9,R10,ordinary,OUTCOME_ORACLE,2.4930785298001834,1.3080335712448785,1.185044958555304,0.7204632866123355,0.36645187743905866,0.0074109256844231098,0.73976135474738025,0.12910798976024135,0.00058380268217022311,0.12852418707807114,0.50495507418051333,0
zone9,R10,ordinary,STATE_ORACLE,2.8214585942996817,1.4012660486904056,1.4201925456092745,0.69723090844105662,0.39264077559791455,0.055382466543261413,0.61807751301124969,0.11595526295047023,0.0053394549197902704,0.11061580803067995,0.58638310800057425,0.0090909090909090905
zone9,R10,ordinary,WIDTH_ONLY,3.181841801431927,1.1530838602174136,2.0287579412145114,0.58344223566574294,0.32292667771224265,0.30191603227705915,0.11709274078535356,0.061632935777421585,0.043485099546633592,0.018147836230788,0.59396544305247334,0.22727272727272727
zone9,R10,ordinary,WIDTH_SAME_SCREEN,3.1286897063147125,1.2320011002767699,1.8966886060379409,0.60754201847211986,0.34509444177385967,0.11181959634775732,0.21864331001970785,0.049887947203629761,0.016418029381900852,0.033469917821728895,0.58740037163281744,0.022727272727272728
zone9,R10,overall,CLARA,3.1138590280706775,1.5713167163638968,1.54254231170678,0.68860075706040458,0.44039157802587159,0.039630289052379662,0.61503516659736901,0.10859017940649804,0.003800584713973688,0.10478959469252433,0.64246213562412235,0
zone9,R10,overall,FEASIBLE_STATE_ORACLE,3.0717518788826976,1.570434321103289,1.5013175577794073,0.69160562646327461,0.44014371418862247,0.038217511443667244,0.61948877576560391,0.1113814414123198,0.0036935652554278974,0.10768787615689192,0.63828657145134127,0
zone9,R10,overall,FIX_REFERENCE_PRICE,3.1270802585035407,1.5179872272913288,1.6090930312122109,0.67277185750196311,0.42541138446616167,0.05369022709492919,0.54019033208190492,0.097440307703994936,0.0062373627423497327,0.09120294496164516,0.63794858474539407,0.0090909090909090905
zone9,R10,overall,GLOBAL_SCORE_SAME_SCREEN,3.1512225227765409,1.6878649185922594,1.4633576041842808,0.70665543392144747,0.47312983707878103,0.014724830440587948,0.70522339069046058,0.12176725954149599,0.001195762170178936,0.12057149737131703,0.65276201875623563,0
zone9,R10,overall,NO_BACKOFF_EXACT,3.1188428893384561,1.5697588672287814,1.549084022109674,0.68750449963688487,0.43995397995421004,0.038989556328153624,0.61219066862847171,0.10743551516817483,0.0037737416570168309,0.103661773511158,0.64228387765575667,0
zone9,R10,overall,NO_G,3.1006828018438335,1.5764093638389478,1.5242734380048846,0.69207710521058574,0.44182209697953778,0.042048689722166001,0.62642736122322162,0.11279331620818886,0.0041387819796422746,0.1086545342285466,0.64228334287743882,0.0090909090909090905
zone9,R10,overall,NO_RWG,3.0873640502038038,1.5536845223604876,1.5336795278433151,0.68802913505610219,0.43543871454176836,0.066599884973460352,0.60798520823954416,0.11399320681894386,0.0068699504586474105,0.10712325636029647,0.64336190453029185,0.018181818181818181
zone9,R10,overall,NO_SCREEN,3.1070728234636085,1.5518087457345175,1.5552640777290896,0.68540203755885243,0.43491181099514736,0.055148840684063602,0.60305510476489976,0.10868364528883223,0.0054873917847135965,0.10319625350411862,0.64441425087973325,0.013636363636363636
zone9,R10,overall,OUTCOME_ORACLE,2.6682409743191671,1.4216403433232994,1.2466006309958668,0.70939761649783495,0.39834765301446862,0.0088526021075440615,0.72480420413070623,0.12383120077328601,0.00072093479639261408,0.12311026597689335,0.5407887451879565,0
zone9,R10,overall,STATE_ORACLE,3.0496274560147798,1.5370226611135578,1.5126047949012207,0.68643100928055534,0.43075841643869828,0.065675385802908201,0.5975779375686805,0.11156691552379409,0.0064136791651141795,0.10515323635867992,0.63833414648395814,0.027272727272727271
zone9,R10,overall,WIDTH_ONLY,3.5363064054812985,1.2179601949746381,2.3183462105066575,0.55504156765874502,0.341134128197429,0.33927126856728984,0.099101444048536783,0.064769652607340758,0.049053070530328771,0.015716582077012004,0.65103981397483268,0.45454545454545453
zone9,R10,overall,WIDTH_SAME_SCREEN,3.3958959603892485,1.3500886224152935,2.0458073379739523,0.59795632989662817,0.37824885500660149,0.13706645078594482,0.19009601337183771,0.049243707279923062,0.019640122477807428,0.029603584802115591,0.63767011593041245,0.06363636363636363
