zone_or_farm,predictor,horizon_steps,target_coverage,method,coverage,TUWR,width,overall_gap_pp,TUWR_pct
zone1,GBR,1,0.69999999999999984,EEE,0.74322396576319527,0.00089874176153379999,0.27093797319296792,4.3223965763195435,0.089874176153385193
zone1,GBR,1,0.80000000000000004,Static,0.78601997146932945,0.21779508687837021,0.29525123780500168,-1.3980028530670483,21.77950868783703
zone1,GBR,1,0.80000000000000004,ACI,0.86647646219686147,0,0.35338732796323891,6.6476462196861537,0
zone1,GBR,1,0.80000000000000004,AgACI,0.87475035663338085,0,0.3764584748206824,7.4750356633380814,0
zone1,GBR,1,0.80000000000000004,EnbPI-RH,0.80827389443651931,0.1171360095865787,0.30502794643797482,0.8273894436519269,11.713600958657878
zone1,GBR,1,0.80000000000000004,TSC,0.86305278174037092,0,0.34396679909212741,6.3052781740370882,0
zone1,GBR,1,0.80000000000000004,EEE,0.83166904422253907,0.015877771120431299,0.3325312467567248,3.1669044222539133,1.5877771120431396
zone1,GBR,1,0.90000000000000002,Static,0.8918687589158345,0.1608747753145596,0.39470866296751139,-0.81312410841655192,16.087477531455963
zone1,GBR,1,0.90000000000000002,ACI,0.9360912981455064,0,0.4512482807912413,3.6091298145506374,0
zone1,GBR,1,0.90000000000000002,AgACI,0.93951497860199717,0,0.47184547595274912,3.9514978601997153,0
zone1,GBR,1,0.90000000000000002,EnbPI-RH,0.90641940085591999,0.084781306171359996,0.40757205657289969,0.64194008559200755,8.47813061713601
zone1,GBR,1,0.90000000000000002,TSC,0.93380884450784596,0,0.4394329280929915,3.3808844507845937,0
zone1,GBR,1,0.90000000000000002,EEE,0.92211126961483603,0.027561414020371398,0.4313436190710998,2.2111269614835893,2.756141402037148
zone1,GBR,1,0.94999999999999996,Static,0.93808844507845923,0.28010784901138402,0.48848683114940261,-1.1911554921540612,28.010784901138408
zone1,GBR,1,0.94999999999999996,ACI,0.96661911554921542,0,0.54658113142845377,1.6619115549215469,0
zone1,GBR,1,0.94999999999999996,AgACI,0.96975748930099837,0,0.56217235583262137,1.9757489300998632,0
zone1,GBR,1,0.94999999999999996,EnbPI-RH,0.95121255349500722,0.13241461953265421,0.50584242824857473,0.12125534950071511,13.241461953265429
zone1,GBR,1,0.94999999999999996,TSC,0.96519258202567759,0,0.53784056418687953,1.5192582025677637,0
zone1,GBR,1,0.94999999999999996,EEE,0.95805991440798843,0.048532055122828002,0.52577068666476234,0.80599144079885876,4.8532055122828046
zone1,GBR,1,0.98999999999999999,Static,0.98944365192582018,0.095566207309766296,0.74836888190802076,-0.055634807417970202,9.5566207309766327
zone1,GBR,1,0.98999999999999999,ACI,0.99315263908701845,0,0.77016367713390621,0.31526390870185711,0
zone1,GBR,1,0.98999999999999999,AgACI,0.99400855920114117,0,0.77471384197272941,0.40085592011411808,0
