zone,price_id,target_predictor,source_predictor,ERRF
zone10,R20,Ridge,Ridge,5.287127164904042
zone2,R01,GBR,GBR,1.501266155197069
zone2,R01,GBR,MLP,1.500932838231975
zone2,R01,GBR,QRLSTM,1.491512243226252
zone2,R01,GBR,Ridge,1.5021137195393648
zone2,R01,MLP,GBR,1.4691480346772796
zone2,R01,MLP,MLP,1.476659100571903
zone2,R01,MLP,QRLSTM,1.4725600023966794
zone2,R01,MLP,Ridge,1.475637346076991
zone2,R01,QRLSTM,GBR,1.4519365468873469
zone2,R01,QRLSTM,MLP,1.4698724479799175
zone2,R01,QRLSTM,QRLSTM,1.456628462425168
zone2,R01,QRLSTM,Ridge,1.4630762695605979
zone2,R01,Ridge,GBR,1.4612789028046749
zone2,R01,Ridge,MLP,1.4705402979545232
zone2,R01,Ridge,QRLSTM,1.470386076015691
zone2,R01,Ridge,Ridge,1.4624979788594594
zone2,R02,GBR,GBR,1.6950662378886003
zone2,R02,GBR,MLP,1.6932110621383665
zone2,R02,GBR,QRLSTM,1.6878547316297032
zone2,R02,GBR,Ridge,1.6974566175161605
zone2,R02,MLP,GBR,1.7302086479246797
zone2,R02,MLP,MLP,1.7353983593485638
zone2,R02,MLP,QRLSTM,1.7349659834992472
zone2,R02,MLP,Ridge,1.735701268497627
zone2,R02,QRLSTM,GBR,1.695874744825861
zone2,R02,QRLSTM,MLP,1.7106307669032237
zone2,R02,QRLSTM,QRLSTM,1.7009535406810876
zone2,R02,QRLSTM,Ridge,1.7048978555666847
zone2,R02,Ridge,GBR,1.6869938146334387
zone2,R02,Ridge,MLP,1.6947497090158208
zone2,R02,Ridge,QRLSTM,1.698103122734331
zone2,R02,Ridge,Ridge,1.6894028948204272
zone2,R05P6179775281,GBR,GBR,2.303359022631299
zone2,R05P6179775281,GBR,MLP,2.305267138851561
zone2,R05P6179775281,GBR,QRLSTM,2.3050707139362108
zone2,R05P6179775281,GBR,Ridge,2.304572259231708
zone2,R05P6179775281,MLP,GBR,2.510944525939492
zone2,R05P6179775281,MLP,MLP,2.5010277522550246
zone2,R05P6179775281,MLP,QRLSTM,2.5110828618291112
zone2,R05P6179775281,MLP,Ridge,2.510745042849789
zone2,R05P6179775281,QRLSTM,GBR,2.4366627895150104
zone2,R05P6179775281,QRLSTM,MLP,2.4461813931224445
zone2,R05P6179775281,QRLSTM,QRLSTM,2.4437489424706933
zone2,R05P6179775281,QRLSTM,Ridge,2.444305709548433
zone2,R05P6179775281,Ridge,GBR,2.3643224500993028
zone2,R05P6179775281,Ridge,MLP,2.3677066400442133
zone2,R05P6179775281,Ridge,QRLSTM,2.380592026546689
zone2,R05P6179775281,Ridge,Ridge,2.3696305876789077
zone2,R10,GBR,GBR,2.914207349687669
zone2,R10,GBR,MLP,2.91681102477062
zone2,R10,GBR,QRLSTM,2.9138486902629306
zone2,R10,GBR,Ridge,2.9251524506729654
zone2,R10,MLP,GBR,3.2932622548430945
zone2,R10,MLP,MLP,3.2644438238530085
zone2,R10,MLP,QRLSTM,3.280165177125414
zone2,R10,MLP,Ridge,3.2750545181319186
zone2,R10,QRLSTM,GBR,3.179836229477261
zone2,R10,QRLSTM,MLP,3.186013746180662
zone2,R10,QRLSTM,QRLSTM,3.1767200584813615
zone2,R10,QRLSTM,Ridge,3.1988079614142375
zone2,R10,Ridge,GBR,3.028117694687978
zone2,R10,Ridge,MLP,3.0221669009651326
zone2,R10,Ridge,QRLSTM,3.0349366488399436
zone2,R10,Ridge,Ridge,3.0345260261735203
zone2,R20,GBR,GBR,4.22320795072899
zone2,R20,GBR,MLP,4.237787425689095
zone2,R20,GBR,QRLSTM,4.228203952654178
zone2,R20,GBR,Ridge,4.260676052568213
zone2,R20,MLP,GBR,4.99007226810729
zone2,R20,MLP,MLP,4.9346621443397884
zone2,R20,MLP,QRLSTM,4.951265930729592
zone2,R20,MLP,Ridge,4.944690201920477
zone2,R20,QRLSTM,GBR,4.7856936985244145
