price_id,method,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap,economic_rank,relative_excess_pct,excess_over_price_min_pct
R02,LinUCB,1.857508150582426,1.430806654154257,0.426701496428169,0.592621046544863,0.4010895931609118,0.6731198760227496,0.2076318802367308,0.235312228586904,0.0644267709914844,0.030196267727964,0.0342305032635203,3.3788636363636364,2.265354036786327,1.8702349647717442
R02,Static,1.8234061708258356,1.3586530735894822,0.4647530972363532,0.5656717479643949,0.3808217334517054,0.6771430195818395,0.2953695929435763,0.1283015443042574,0.0631904957336519,0.042945330431775,0.0202451653018768,1.3184090909090909,0.1279929000409574,0.0
R02,TSC,1.9688099466431888,1.613431627938141,0.3553783187050479,0.6574929722261769,0.4523887431002051,0.6582432017331491,0.0170471017477312,0.5225509242050661,0.0740724662179978,0.0020434605891032,0.0720290056288945,6.834090909090909,8.6142242531545,7.97429438069186
R10,ACI,3.360446079282282,1.673445024999555,1.6870010542827272,0.6725350133466893,0.469246438903973,0.6660802366055419,0.0129383522472515,0.601192661211112,0.0878843491396545,0.0013773084082293,0.0865070407314252,4.957727272727273,3.2645631817336453,2.1610344687791327
R10,AgACI,3.319931171790144,1.779366493050781,1.540564678739363,0.6993629191107409,0.4989996602666769,0.6814772364853693,0.0131792073961982,0.6861955051511243,0.1145025929810709,0.0011142915642941,0.1133883014167768,4.676590909090909,2.5993223361225866,0.9293394011743672
R10,CART,3.342524807422969,1.5569294185499236,1.7855953888730454,0.6395486781724503,0.4365173359686833,0.6764292921542375,0.115445786138125,0.4172082139917084,0.0816357544446774,0.0149828751968917,0.0666528792477857,4.363636363636363,2.78666241298202,1.61620927922137
R10,CLARA,3.289361836199152,1.6636681141350615,1.62569372206409,0.6789288328445818,0.4665001156274299,0.6748136345885748,0.0550504954475808,0.5861149785255446,0.1024970114747052,0.0055171804669092,0.096979831007796,3.1604545454545456,1.2119902116440553,0.0
R10,EEE,3.400663064930014,1.562657807073203,1.8380052578568111,0.6265460154561504,0.4381264338684809,0.655812388769388,0.0792013011718324,0.3530879535403046,0.061417805138423,0.0112451526797087,0.0501726524587142,4.791136363636364,4.152585007631462,3.383672404355198
R10,EnbPI-RH,3.5902738310352404,1.4391666366529936,2.151107194382247,0.5934953145947452,0.4034379028515681,0.6656002158105635,0.1674683537441925,0.1920094818208795,0.0535684115265641,0.023779459753418,0.029788951773146,6.422727272727273,9.326845502215352,9.148035692655544
R10,LinUCB,3.350914945342574,1.614095026322232,1.7368199190203422,0.659680357816622,0.4525750909609048,0.6712230102900993,0.0711608799644009,0.5193316811498423,0.0888680984257967,0.0081400863472984,0.0807280120784982,4.682272727272728,2.816766553636484,1.8712781447767446
R10,Static,3.682418559771248,1.3586530735894822,2.3237654861817663,0.5656717479643949,0.3808217334517054,0.6771430195818395,0.2953695929435763,0.1283015443042574,0.0631904957336519,0.042945330431775,0.0202451653018768,6.945909090909091,11.8344199883356,11.949330695289873
R10,TSC,3.3903232214633805,1.613431627938141,1.7768915935252392,0.6574929722261769,0.4523887431002051,0.6582432017331491,0.0170471017477312,0.5225509242050661,0.0740724662179978,0.0020434605891032,0.0720290056288945,4.999545454545455,3.859126804305888,3.0693304747795302
R20,ACI,5.04744713356501,1.673445024999555,3.3740021085654543,0.6725350133466893,0.469246438903973,0.6660802366055419,0.0129383522472515,0.601192661211112,0.0878843491396545,0.0013773084082293,0.0865070407314252,4.32,3.909996451494607,3.8463417886703155
R20,AgACI,4.860495850529507,1.779366493050781,3.081129357478726,0.6993629191107409,0.4989996602666769,0.6814772364853693,0.0131792073961982,0.6861955051511243,0.1145025929810709,0.0011142915642941,0.1133883014167768,3.18,1.2567271015594963,0.0
R20,CART,5.1250254135670446,1.5581638669336682,3.566861546633377,0.6400448414172399,0.4368640911326565,0.6765218336712941,0.1148399710787544,0.4193981005510714,0.081939570465534,0.0148891536223652,0.0670504168431687,5.390454545454546,6.295868152824193,5.442439849191927
R20,CLARA,4.880693923762816,1.7028723871931009,3.1778215365697147,0.6881963659579738,0.4775125518796882,0.6765619699321281,0.0371728406538515,0.6327407277708406,0.1074607879147093,0.0032886240256166,0.1041721638890926,2.798409090909091,1.2397873100961174,0.4155558168228657
R20,EEE,5.238668322786825,1.562657807073203,3.6760105157136223,0.6265460154561504,0.4381264338684809,0.655812388769388,0.0792013011718324,0.3530879535403046,0.061417805138423,0.0112451526797087,0.0501726524587142,5.1243181818181816,7.005836599302825,7.780532766345649
R20,EnbPI-RH,5.741381025417486,1.4391666366529936,4.302214388764494,0.5934953145947452,0.4034379028515681,0.6656002158105635,0.1674683537441925,0.1920094818208795,0.0535684115265641,0.023779459753418,0.029788951773146,7.026590909090909,15.970342876651442,18.12336029032955
R20,LinUCB,5.06170389580678,1.637516348748434,3.4241875470583465,0.6646459155642755,0.4591541141143324,0.6702531535705598,0.0543169373557286,0.5403550912964992,0.0898605884387182,0.0060883904334728,0.0837721980052454,4.573181818181818,4.230180215856431,4.139660879565477
R20,Static,6.006184045953014,1.3586530735894822,4.6475309723635325,0.5656717479643949,0.3808217334517054,0.6771430195818395,0.2953695929435763,0.1283015443042574,0.0631904957336519,0.042945330431775,0.0202451653018768,7.756363636363637,21.095715286712736,23.571426262995267
R20,TSC,5.16721481498862,1.613431627938141,3.5537831870504784,0.6574929722261769,0.4523887431002051,0.6582432017331491,0.0170471017477312,0.5225509242050661,0.0740724662179978,0.0020434605891032,0.0720290056288945,4.8306818181818185,5.637010629831609,6.310445968711176
Rref,ACI,2.621198426281986,1.673445024999555,0.9477534012824312,0.6725350133466893,0.469246438903973,0.6660802366055419,0.0129383522472515,0.601192661211112,0.0878843491396545,0.0013773084082293,0.0865070407314252,5.820681818181818,3.736056409961423,2.3565994506542287
Rref,AgACI,2.644852267623457,1.779366493050781,0.8654857745726757,0.6993629191107409,0.4989996602666769,0.6814772364853693,0.0131792073961982,0.6861955051511243,0.1145025929810709,0.0011142915642941,0.1133883014167768,6.377045454545455,4.9332634989790325,3.2802711343323354
Rref,CART,2.56084946193006,1.5571726143575957,1.0036768475724644,0.6390223744207804,0.4365856493978047,0.6759577703362297,0.1138475166269325,0.4139053387631896,0.0806553526621561,0.0147546317267411,0.065900720935415,3.4220454545454544,1.328769405813171,0.0
Rref,CLARA,2.5655471010626147,1.61368917069964,0.951857930362975,0.6634505798036775,0.4524610865725362,0.6722029499152329,0.0744256939286163,0.5165879343511037,0.0928651586586594,0.0085312374222247,0.0843339212364346,3.5788636363636366,1.455526033211894,0.18344065914026597
Rref,EEE,2.595245030588265,1.562657807073203,1.0325872235150624,0.6265460154561504,0.4381264338684809,0.655812388769388,0.0792013011718324,0.3530879535403046,0.061417805138423,0.0112451526797087,0.0501726524587142,4.472045454545454,2.67739411351235,1.3431312214768676
Rref,EnbPI-RH,2.6476538245081884,1.4391666366529936,1.2084871878551948,0.5934953145947452,0.4034379028515681,0.6656002158105635,0.1674683537441925,0.1920094818208795,0.0535684115265641,0.023779459753418,0.029788951773146,5.439772727272727,4.626088958976496,3.3896706490785133
Rref,LinUCB,2.5899968923427057,1.575029451140272,1.0149674412024334,0.6461556611400091,0.4416016147861969,0.6714230522303505,0.0935042035765352,0.4625854854198086,0.0817991261667569,0.0115285417399502,0.0702705844268066,4.924545454545455,2.4076051838229384,1.1381938238055556
Rref,Static,2.6641393017814856,1.3586530735894822,1.3054862281920034,0.5656717479643949,0.3808217334517054,0.6771430195818395,0.2953695929435763,0.1283015443042574,0.0631904957336519,0.042945330431775,0.0202451653018768,5.6625,5.147997621097924,4.033420995140347
Rref,TSC,2.611685332165804,1.613431627938141,0.9982537042276624,0.6574929722261769,0.4523887431002051,0.6582432017331491,0.0170471017477312,0.5225509242050661,0.0740724662179978,0.0020434605891032,0.0720290056288945,5.3025,3.2757466730911893,1.9851174772854252
